Year,Ticker,MedianDollarVolume
2011,SPY,21300259166.0
2011,IWM,4492851971.0
2011,AAPL,4391122778.0
2011,QQQ,2399985068.0
2011,EEM,2103171585.0
2011,GLD,1730173061.0
2011,BAC,1637481697.0
2011,XLE,1610894659.0
2011,C,1607456027.0
2011,XOM,1422031350.0
2011,JPM,1324091505.0
2011,BIDU,1245669239.0
2011,MSFT,1212575946.0
2011,XLF,1185875940.0
2011,GOOG,1185498371.0
2011,EFA,1148460378.0
2011,SINA,1098921756.0
2011,INTC,1046665447.0
2011,CSCO,1030401380.0
2011,WFC,999924024.0
2011,SLV,966763499.0
2011,GE,874307358.0
2011,FCX,864121908.0
2011,NFLX,852308671.0
2011,EWZ,844635474.0
2011,ORCL,809907803.0
2011,F,808350681.0
2011,CAT,800091518.0
2011,AMZN,770598674.0
2011,RIMM,768598294.0
2011,PFE,760281239.0
2011,TLT,757275763.0
2011,TNA,748456613.0
2011,GS,745483568.0
2011,CVX,733882787.0
2011,IBM,717137362.0
2011,VWO,708582128.0
2011,XLI,698963990.0
2011,OIH,685328946.0
2011,TZA,682596356.0
2011,QCOM,639751830.0
2011,JNJ,628382521.0
2011,VXX,623158104.0
2011,SLB,606115219.0
2011,WMT,600853333.0
2011,DIA,599145796.0
2011,SSO,596231012.0
2011,FXI,586714512.0
2011,XRT,579833951.0
2011,HPQ,568493542.0
2011,PG,555909984.0
2011,IYR,554299765.0
2011,FAZ,550660111.0
2011,T,548342893.0
2011,GDX,542248140.0
2011,HAL,539599617.0
2011,FAS,528464297.0
2011,XLB,527224393.0
2011,LVS,513254900.0
2011,MOS,508383299.0
2011,COP,505094957.0
2011,PCLN,468836766.0
2011,SDS,468612860.0
2011,KO,463849815.0
2011,EMC,460182977.0
2011,VZ,445127487.0
2011,PLD,434710469.0
2011,V,432513561.0
2011,MCD,423211656.0
2011,PM,413805876.0
2011,PBR,413678936.0
2011,IVV,398379029.0
2011,OXY,394893473.0
2011,VALE,392673085.0
2011,USO,389982180.0
2011,EBAY,389438862.0
2011,GM,387256311.0
2011,HD,387190463.0
2011,LOW,386316114.0
2011,DE,385090828.0
2011,POT,383922858.0
2011,MDY,375491287.0
2011,MRK,373747620.0
2011,CMCSA,371678707.0
2011,DIS,370040165.0
2011,MS,365667794.0
2011,MRO,358230709.0
2011,UNH,353950206.0
2011,UTX,352940882.0
2011,PEP,352873368.0
2011,XOP,348046650.0
2011,DELL,346562285.0
2011,DOW,329680645.0
2011,XLY,329141540.0
2011,AXP,329114241.0
2011,MU,326254825.0
2011,YHOO,323846283.0
2011,BRKB,321262580.0
2011,BHI,319504315.0
2011,AWAY,318951365.0
2011,JNPR,318499110.0
2011,CMI,316863344.0
2011,TBT,316446537.0
2011,CF,312502825.0
2011,ABX,311734620.0
2011,XME,309410632.0
2011,XLV,307508877.0
2011,APC,306431527.0
2011,ABT,306306879.0
2011,XLP,304654162.0
2011,ANR,302733732.0
2011,MO,302698423.0
2011,CLF,299505457.0
2011,X,298204619.0
2011,USB,294203544.0
2011,BA,293992250.0
2011,UPS,293804504.0
2011,QLD,292591943.0
2011,MCP,287742180.0
2011,NEM,286919947.0
2011,MET,286495133.0
2011,DD,285522983.0
2011,TGT,284577791.0
2011,AIG,284370885.0
2011,QID,283846680.0
2011,AA,279550258.0
2011,APA,279465526.0
2011,SMH,274386308.0
2011,SLW,273857508.0
2011,GG,273786128.0
2011,BMY,271637378.0
2011,CRM,270870706.0
2011,CVS,269385341.0
2011,BHP,267575787.0
2011,EMR,266814384.0
2011,TXN,266390501.0
2011,WAG,265589225.0
2011,SNDK,264722750.0
2011,NVDA,262301462.0
2011,AMGN,261690893.0
2011,NOV,259176966.0
2011,TWX,256350638.0
2011,UNP,254975634.0
2011,NLY,253817105.0
2011,NWSA,253555421.0
2011,HES,253428758.0
2011,RIG,250000000.0
2011,LO,249851158.0
2011,BP,248480288.0
2011,MMM,248136193.0
2011,EOG,246529474.0
2011,MA,246314637.0
2011,WOOF,246035942.0
2011,WYNN,244356305.0
2011,MGM,243288975.0
2011,KFT,242752351.0
2011,ERX,238174558.0
2011,PNC,238039320.0
2011,AGQ,234116647.0
2011,CL,233913158.0
2011,S,233660201.0
2011,ACN,232009167.0
2011,XLK,231205217.0
2011,LLY,230114661.0
2011,GILD,230011836.0
2011,EWJ,228243336.0
2011,NTAP,226712361.0
2011,NKE,225506330.0
2011,FFIV,224506800.0
2011,MDT,223687404.0
2011,BRCM,222819625.0
2011,MON,221442935.0
2011,AMX,220501710.0
2011,GLW,219832508.0
2011,WFT,219693181.0
2011,BBY,219412587.0
2011,SBUX,218339694.0
2011,NOK,218275098.0
2011,DVN,217961644.0
2011,DTV,215670908.0
2011,ITUB,214032902.0
2011,SU,212909678.0
2011,CHK,211869461.0
2011,CBS,210466040.0
2011,FDX,209977727.0
2011,FXE,209410411.0
2011,LULU,208039927.0
2011,M,207921149.0
2011,HON,206447857.0
2011,ESRX,205738508.0
2011,PRU,205221455.0
2011,DHR,204031567.0
2011,BIIB,203634379.0
2011,TWM,202760230.0
2011,VLO,202394809.0
2011,TSM,201892997.0
2011,COF,201825315.0
2011,VHS,201175487.0
2011,CSX,200562543.0
2011,CMG,200174534.0
2011,VIAB,198739065.0
2011,TRV,198737871.0
2011,CAM,198295030.0
2011,BK,197802421.0
2011,TOT,195450206.0
2011,KR,195344099.0
2011,CTSH,193586622.0
2011,AMAT,189642361.0
2011,KSS,188580435.0
2011,TEVA,188572559.0
2011,WLP,188548192.0
2011,XLU,187824002.0
2011,ADM,186675437.0
2011,EP,186259114.0
2011,SPG,184331604.0
